unit_code;cocunut;tiger_asset_class_id;min_exposure;min_co_exposure_threshold;min_turnover;min_turnover_threshold
RBCZ;727503;6;784360;2048000;11340000;10241000
RBCZ;173592;6;726960;2048000;12010000;10241000
RBCZ;1794402;6;207338;2048000;15020000;10241000
RBCZ;767678;6;200000;2048000;11530000;10241000
RBCZ;171000;6;124399;2048000;10300000;10241000
RBCZ;2032536;6;1020000;2048000;11070000;10241000
RBCZ;921086;6;1036656;2048000;99000000;10241000
RBCZ;2258845;6;21;2048000;15850000;10241000
RBCZ;1836748;6;456129;2048000;11400000;10241000
RBCZ;1640546;6;1120097;2048000;12640000;10241000
RBCZ;2258842;6;21;2048000;15850000;10241000
RBCZ;1523919;6;2778239;2048000;9760000;10241000
RBCZ;2059899;6;9;2048000;39300000;10241000
RBCZ;160805;6;621994;2048000;10560000;10241000
RBCZ;1992258;6;2073312;2048000;250000;10241000
RBCZ;589815;6;315104;2048000;10990000;10241000
RBHR;116837;6;150000;1542000;5320000;5107000
RBHR;509455;6;607963;1542000;5970000;5107000
RBHR;720285;6;108819;1542000;5610000;5107000
RBHR;1606443;6;710342;1542000;8340000;5107000
RBHR;209841;6;265446;1542000;5150000;5107000
RBHR;1877359;6;272023;1542000;5270000;5107000
RBHR;107959;6;378368;1542000;5310000;5107000
RBHR;795638;6;515661;1542000;5890000;5107000
RBHR;107447;6;353982;1542000;7280000;5107000
RBHR;2052364;6;300000;1542000;8340000;5107000
RBHR;304045;6;11868;1542000;5450000;5107000
RBHR;107576;6;167142;1542000;5280000;5107000
RBHR;127539;6;38114;1542000;5280000;5107000
RBHR;497406;6;233656;1542000;6490000;5107000
RBHR;133349;6;13272;1542000;7250000;5107000
RBHR;149900;6;2654;1542000;5150000;5107000
RBHR;1031258;6;1126755;1542000;5400000;5107000
RBHR;936770;6;88947;1542000;5850000;5107000
RBHR;81588;6;71545;1542000;5110000;5107000
RBHR;108727;6;151632;1542000;5490000;5107000
RBHR;1918282;6;268802;1542000;5180000;5107000
RBHR;135332;6;1057801;1542000;5870000;5107000
RBHR;1970404;6;24734;1542000;5490000;5107000
RBHU;1038328;6;639675;1238000;4640000;4136000
RBHU;2199154;6;116;1238000;6050000;4136000
RBHU;1809161;6;189778;1238000;8630000;4136000
RBHU;299356;6;1129469;1238000;5620000;4136000
RBHU;311325;6;56603;1238000;4560000;4136000
RBHU;1570907;6;263286;1238000;4940000;4136000
RBHU;868717;6;178903;1238000;4490000;4136000
RBHU;166029;6;835827;1238000;5660000;4136000
RBHU;1026409;6;501956;1238000;8060000;4136000
RBHU;155671;6;79719;1238000;4540000;4136000
RBHU;887808;6;467093;1238000;4570000;4136000
RBHU;127922;6;133988;1238000;4150000;4136000
RBHU;312975;6;48428;1238000;6830000;4136000
